Materia,Total_Cupos,Total_Secciones,Residuos_Cupos,semestre_numerico,semestre_original
MATEMATICA DISCRETA,200,5,67,4026,2013A
METODOS MATEMATICOS I,200,5,59,4026,2013A
PROGRAMACION,200,5,73,4026,2013A
SEMINARIO DE SOLUCION DE PROBLEMAS DE PROGRAMACION,200,10,60,4026,2013A
SEMINARIO DE SOLUCION DE PROBLEMAS DE METODOS MATEMATICOS I,450,10,306,4026,2013A
ALGORITMIA,160,4,51,4027,2013B
ESTRUCTURAS DE DATOS I,160,4,82,4027,2013B
MATEMATICA DISCRETA,482,12,146,4027,2013B
METODOS MATEMATICOS I,858,23,210,4027,2013B
METODOS MATEMATICOS II,160,4,95,4027,2013B
PROGRAMACION,920,24,265,4027,2013B
SEMINARIO DE SOLUCION DE PROBLEMAS DE PROGRAMACION,782,40,152,4027,2013B
SEMINARIO DE SOLUCION DE PROBLEMAS DE ALGORITMIA,160,8,62,4027,2013B
SEMINARIO DE SOLUCION DE PROBLEMAS DE ESTRUCTURAS DE DATOS I,160,8,95,4027,2013B
SEMINARIO DE SOLUCION DE PROBLEMAS DE METODOS MATEMATICOS I,827,41,223,4027,2013B
SEMINARIO DE SOLUCION DE PROBLEMAS DE METODOS MATEMATICOS II,160,8,79,4027,2013B
ADMINISTRACION DE REDES,72,4,14,4028,2014A
ALGORITMIA,80,2,23,4028,2014A
ESTADISTICA Y PROCESOS ESTOCASTICOS,80,2,33,4028,2014A
ESTRUCTURAS DE DATOS I,307,14,48,4028,2014A
ESTRUCTURAS DE DATOS II,65,2,36,4028,2014A
MATEMATICA DISCRETA,480,12,121,4028,2014A
METODOS MATEMATICOS I,920,23,232,4028,2014A
METODOS MATEMATICOS II,640,16,159,4028,2014A
PROGRAMACION,930,29,151,4028,2014A
SEMINARIO DE SOLUCION DE PROBLEMAS DE PROGRAMACION,927,54,201,4028,2014A
SEMINARIO DE SOLUCION DE PROBLEMAS DE ALGORITMIA,51,3,7,4028,2014A
SEMINARIO DE SOLUCION DE PROBLEMAS DE ESTRUCTURAS DE DATOS I,292,19,40,4028,2014A
SEMINARIO DE SOLUCION DE PROBLEMAS DE METODOS MATEMATICOS I,805,39,121,4028,2014A
SEMINARIO DE SOLUCION DE PROBLEMAS DE METODOS MATEMATICOS II,488,24,37,4028,2014A
SEMINARIO DE SOLUCION DE PROBLEMAS DE ESTRUCTURAS DE DATOS II,34,2,8,4028,2014A
TEORIA DE LA COMPUTACION,374,19,51,4028,2014A
ADMINISTRACION DE REDES,168,7,56,4029,2014B
ADMINISTRACION DE SERVIDORES,48,2,9,4029,2014B
ALGORITMIA,245,7,77,4029,2014B
BASES DE DATOS,30,1,11,4029,2014B
ESTADISTICA Y PROCESOS ESTOCASTICOS,176,4,38,4029,2014B
ESTRUCTURAS DE DATOS I,455,13,152,4029,2014B
ESTRUCTURAS DE DATOS II,255,9,83,4029,2014B
HIPERMEDIA,60,2,17,4029,2014B
INGENIERIA DE SOFTWARE I,30,1,17,4029,2014B
MATEMATICA DISCRETA,445,11,33,4029,2014B
METODOS MATEMATICOS I,968,22,158,4029,2014B
METODOS MATEMATICOS II,661,15,91,4029,2014B
